id,type,noun,nountw,verb,verbtw,adj,adjtw,nickname,sentence,sentencetw,adverb,adverbtw,,,,,,,
59,1,project,專案,,,,,項目,,,,,,,,,,,
60,13,,,complete?,完成,,完整的,,,,,,,,,,,,
61,2,,,described?,描述,,,,,,,,,,,,,,
62,12,command,命令,,控制,,,,,,,,,,,,,,
63,14,,,,,,,,Prerequisites,先決條件,,,,,,,,,
64,3,,,,,?greater,更高的,,,,,,,,,,,,
65,4,,,,,,,,,,automatically ,自動地,,,,,,,
66,12,dialog ,對話框  ,,對話,,,,,,,,,,,,,,
67,1,credentials,證書,,,,,,,,,,,,,,,,
68,10,directory,目錄,,,,目錄的,,,,,,,,,,,,
69,1,structure,結構體,,,,,,,,,,,,,,,,
70,2,,,apply,應用,,,,,,,,,,,,,,
71,1,plugin,插件,,,,,,,,,,,,,,,,
72,1, compatibility ,兼容性,,,,,,,,,,,,,,,,
73,1,source,資源,,,,,,,,,,,,,,,,
74,11,target,目標,,目標指向誰,,,,,,,,,,,,,,
75,1,repositories,資源庫,,,,,,,,,,,,,,,,
76,1,mavencentral,專家,,,,,,,,,,,,,,,,
77,1,dependencies ,依存關西,,,,,,,,,,,,,,,,
78,1,implementation,實作,,,,,,,,,,,,,,,,
79,11,guide,指南,,引導,,,,,,,,,,,,,,
80,1,installation,安裝,,,,,,,,,,,,,,,,
81,11,process,過程,,處理,,,,,,,,,,,,,,
82,3,,,,,essential,必要的,,,,,,,,,,,,
83,1,enterprise ,企業,,,,,,,,,,,,,,,,
84,1,Industry?,行業,,,,,,,,,,,,,,,,
85,1,employees,雇員,,,,,,,,,,,,,,,,
86,10,community ,   社區,,,,共有的,,,,,,,,,,,,
87,1,Architecture,建築,,,,,,,,,,,,,,,,
88,2,,,prompted,驅動,,,,,,,,,,,,,,
89,1,certificate,憑證,,,,,,,,,,,,,,,,
90,2,,,scoped ,範圍,,,,,,,,,,,,,,
91,1,?environment?,環境,,,,,,,,,,,,,,,,
92,2,,,prevent,防止,,,,,,,,,,,,,,
93,2,,,abused,被濫用,,,,,,,,,,,,,,
94,1,usage,用法,,,,,,,,,,,,,,,,
95,2,,,Signing,簽收,,,,,,,,,,,,,,
96,1,fingerprint,指紋,,,,,,,,,,,,,,,,
97,2,,,restrict?,限制,,,,,,,,,,,,,,
98,3,,,,,?Secret,秘密,,,,,,,,,,,,
99,1,Nested,巢狀,,,,,,,,,,,,,,,,
100,1,Summary,摘要,,,,,,,,,,,,,,,,
101,3,,,,,Inherited?,遺傳,,,,,,,,,,,,
102,1,Constant?,建構式,,,,,,,,,,,,,,,,
103,1,Method?,方法,,,,,,,,,,,,,,,,
104,2,,,recommended?,推薦,,,,,,,,,,,,,,
105,2,,via?,通過,,,,,,,,,,,,,,,
106,2,,,customize?,定制,,,,,,,,,,,,,,
107,2,,,further?,進一步,,,,,,,,,,,,,,
108,1,identity,身份,,,,,,,,,,,,,,,,
109,3,,,,,additional ,額外,,,,,,,,,,,,
110,2,,,based?,基於,,,,,,,,,,,,,,
111,1,extension,擴充,,,,,,,,,,,,,,,,
112,2,,,recommend?,推薦,,,,,,,,,,,,,,
113,3,,,,,preferable ,可取得,,,,,,,,,,,,
114,1, authenticate,認證,,,,,,,,,,,,,,,,
115,2,,,verify?,驗證,,,,,,,,,,,,,,
116,3,,,,,integrity ,完整性,,,,,,,,,,,,
117,1, profile info ,個人資料,,,,,,,,,,,,,,,,
118,1,scopes?,範圍,,,,,,,,,,,,,,,,
119,3,,,,,offline,離線的,,,,,,,,,,,,
120,2,,,exchanges?,交流,,,,,,,,,,,,,,
121,1,retrieve ,取回,,,,,,,,,,,,,,,,
122,3,,,,,Subsequent ,後續的,,,,,,,,,,,,
123,2,,,executing ,執行中,,,,,,,,,,,,,,
124,2,,,occurred ,發生,,,,,,,,,,,,,,
125,2,,,exclude,排除,,,,,,,,,,,,,,
126,2,,,interacting?,互動,,,,,,,,,,,,,,
127,2,,,revokeAccess?,撤銷,,,,,,,,,,,,,,
128,1,Entry point ,入口點,,,,,,,,,,,,,,,,
129,2,,,indicating?,表示,,,,,,,,,,,,,,
130,2,,,holds?,持有,,,,,,,,,,,,,,
131,3,,,,,convenient ,便利的,,,,,,,,,,,,
132,1,wrapper ,包裝器,,,,,,,,,,,,,,,,
133,1,utility ,效用,,,,,,,,,,,,,,,,
134,3,,,,,performing ,屢行的,,,,,,,,,,,,
135,1,operations ,運作,,,,,,,,,,,,,,,,
136,1,picker ,選擇器,,,,,,,,,,,,,,,,
137,1,Framework,架構,,,,,,,,,,,,,,,,
138,1,Executor,執行者,,,,,,,,,,,,,,,,
139,3,,,,,Callable,可招回,,,,,,,,,,,,
140,4,,,,,,,,,,directly?,直接了當地,,,,,,,
141,2,,,attempt,嘗試,,,,,,,,,,,,,,
142,2,,,detect,檢測,,,,,,,,,,,,,,
143,3,,,,,appropriate,適當,,,,,,,,,,,,
144,3,,,,,sole ,唯一的,,,,,,,,,,,,
145,3,,,,,returned ,返回的,,,,,,,,,,,,
146,4,,,,,,,,,,necessarily,一定,,,,,,,
147,3,,,,,unique,獨一無二,,,,,,,,,,,,
148,1,metadata,元數據,,,,,,,,,,,,,,,,
149,2,,,identified,確定的,,,,,,,,,,,,,,
150,2,,,Convert ,變換,,,,,,,,,,,,,,
151,3,,,,,Concrete ,具體,,,,,,,,,,,,
152,2,,,generate,產生,,,,,,,,,,,,,,
153,4,,,,,,,,,,repeatable ,可重複的,,,,,,,
154,2,,,link,連接,,,,,,,,,,,,,,
155,1,comma,逗號,,,,,,,,,,,,,,,,
156,1,Category,類別,,,,,,,,,,,,,,,,
157,1,display ,顯示,,,,,,,,,,,,,,,,
158,1,content ,內容,,,,,,,,,,,,,,,,
159,1,resolver,解析器,,,,,,,,,,,,,,,,
160,1,cursor,游標,,,,,,,,,,,,,,,,
161,1,projection,投影,,,,,,,,,,,,,,,,
162,1,selection,選擇器,,,,,,,,,,,,,,,,
163,1,sortOrder,排序,,,,,,,,,,,,,,,,
164,1,Column,欄位,,,,,,,,,,,,,,,,
165,2,,,expect,期望,,,,,,,,,,,,,,
166,4,,,,,,,,,,instead,代替,,,,,,,
167,1,OpenableColumns,開放式專欄,,,,,,,,,,,,,,,,
168,1,default,默認預設,,,,,,,,,,,,,,,,
169,1,segment,分割,,,,,,,,,,,,,,,,
170,1,standard ,標準,,,,,,,,,,,,,,,,
171,3,,,,,associated,關聯的,,,,,,,,,,,,
172,2,,,desired,想要的,,,,,,,,,,,,,,
173,3,,,,,Unable,無法,,,,,,,,,,,,
174,1,property,屬性,,,,,,,,,,,,,,,,
175,3,,,,,arbitrary,任意的,,,,,,,,,,,,
176,3,,,,,independent,獨立,,,,,,,,,,,,
177,1,,,evaluate,評估,,,,,,,,,,,,,,
178,1,expressions,表達,,,,,,,,,,,,,,,,
179,1,extension,擴充,,,,,,,,,,,,,,,,
180,1,terminal,終端,,,,,,,,,,,,,,,,
181,1,launch,啟動,,,,,,,,,,,,,,,,
182,2,,,obtain,獲取,,,,,,,,,,,,,,
183,1,archives?,檔案,,,,,,,,,,,,,,,,
184,2,,,releases,釋出,,,,,,,,,,,,,,
185,3,,,,,Unsure?,不確定,,,,,,,,,,,,
186,1,Specification ,規格,,,,,,,,,,,,,,,,
187,1,eclipse,日食,,,,,,,,,,,,,,,,
188,1,Deployer,部屬者,,,,,,,,,,,,,,,,
189,1,theme,主題,,,,,,,,,,,,,,,,
190,1,Dynamic,動態,,,,,,,,,,,,,,,,
191,3,,,,,existing ,現有的,,,,,,,,,,,,
192,1,runtime,運行,,,,,,,,,,,,,,,,
193,1,module,模組,,,,,,,,,,,,,,,,
194,1,feature,特徵,,,,,,,,,,,,,,,,
195,3,,,,,available,可用的,,,,,,,,,,,,
196,1,preference,偏愛,,,,,,,,,,,,,,,,
197,1,general,一班的,,,,,,,,,,,,,,,,
198,1,describe?,描述,,,,,,,,,,,,,,,,
199,1,protocol?,協議,,,,,,,,,,,,,,,,
200,1,conform,符合,,,,,,,,,,,,,,,,
201,1,abstract ,抽象,,,,,,,,,,,,,,,,
202,1,subclassed?,子類化,,,,,,,,,,,,,,,,
203,3,,,,,suitable?,是當,,,,,,,,,,,,
204,3,,,,,held?,保持,,,,,,,,,,,,
205,1,itself,本身,,,,,,,,,,,,,,,,
206,1,reason?,原因,,,,,,,,,,,,,,,,
207,1,dispatch,派遣,,,,,,,,,,,,,,,,
208,4,,,,,,,,,,likewise,還有,,,,,,,
209,2,,,Trace ,追蹤,,,,,,,,,,,,,,
210,1,typically?,通常,,,,,,,,,,,,,,,,
211,1,multithreaded ,多線呈,,,,,,,,,,,,,,,,
212,3,,,,,aware?,知道的,,,,,,,,,,,,
213,1,synchronize?,同步化,,,,,,,,,,,,,,,,
214,1,instance?,包含,,,,,,,,,,,,,,,,
215,1,author,作者,,,,,,,,,,,,,,,,
216,1,Constructor,建構式,,,,,,,,,,,,,,,,
217,1,committing?,提交,,,,,,,,,,,,,,,,
218,3,,,,,persistent?,持久的,,,,,,,,,,,,
219,1,performance,性凝,,,,,,,,,,,,,,,,
220,3,,,,,entire?,整個,,,,,,,,,,,,
221,1,parameter,參數,,,,,,,,,,,,,,,,
222,1,modifier?,修飾型別,,,,,,,,,,,,,,,,
223,1,flat ,平面,,,,,,,,,,,,,,,,
224,2,,,Caused,造成的,,,,,,,,,,,,,,
225,1,cache,快取,,,,,,,,,,,,,,,,
226,3,,,,,accepted,接受的,,,,,,,,,,,,
227,1,immutable?,一成不變的,,,,,,,,,,,,,,,,
228,3,,,,,insensitive?,不免感的,,,,,,,,,,,,
229,1,set ,組件,,,,,,,,,,,,,,,,
230,3,,,,,corresponding?,相應的,,,,,,,,,,,,
231,1,abstract,抽象,,,,,,,,,,,,,,,,
232,2,,,converted ,已轉換,,,,,,,,,,,,,,
233,1,typically?,通常,,,,,,,,,,,,,,,,
234,2,,,invoke,調用,,,,,,,,,,,,,,
235,1,reuse?,重用,,,,,,,,,,,,,,,,
236,4,,,,,,,freely ,自由地,,,,,,,,,,
237,1,Introspector,內省者,,,,,,,,,,,,,,,,
238,1,separately?,個別的,,,,,,,,,,,,,,,,
239,2,,,analyze?,分析,,,,,,,,,,,,,,
240,3,,,,,explicit?,精密的,,,,,,,,,,,,
241,3,,,,,implicit?,隱含的,,,,,,,,,,,,
242,4,,,,,,,comprehensively?,全面地,,,,,,,,,,
243,3,,,,,exposed?,裸露的,,,,,,,,,,,,
244,1,reflect,反映,,,,,,,,,,,,,,,,
245,1,underlying?,底層的,,,,,,,,,,,,,,,,
246,3,,,,,Required,必要的,,,,,,,,,,,,
247,2,,,found,創建,,,,,,,,,,,,,,
245,1,equivalent ,等量的,,,,,,,,,,,,,,,,
246,1, representation.,表示,,,,,,,,,,,,,,,,
247,1,parses?,解析,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
